REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2021,Superior Pipeline Kansas 375 Sedgwick Basin GB,1012619,PO Box 702500,36.15106,-95.99127,Tulsa,TULSA COUNTY,OK,74170,ONEOK INC (100%),76356,W
2021,"Superior Pipeline Texas, LLC - Basin 360 - Anadarko Basin - GB",1012720,PO Box 702500,37.241724937,-99.7809850469999,Tulsa,,OK,74170,UNIT CORP (100%),86075,W
2021,Superior Refining Company LLC,1003472,2407 Stinson Ave.,46.692333,-92.065361,Superior,DOUGLAS COUNTY,WI,54880,SUPERIOR REFINING CO LLC (100%),25147,"C,MM,Y"
2021,Surge Energy 430 Permian Basin,1013106,"7850 North Sam Houston Parkway, Suite 300",29.9161683,-95.5302337,Houston,,TX,77064,SURGE OPERATING LLC (100%),165122,W
2021,"Susquehanna Gathering Company, LLC",1013065,1429 Oliver Road,41.8211,-75.684814,New Milford,SUSQUEHANNA COUNTY,PA,18834,DTE ENERGY CO (100%),289462,W
2021,Sutherland,1001549,3000 E MAIN ST RD,42.0472,-92.8627,MARSHALLTOWN,Marshall,IA,50158,ALLIANT ENERGY CORP (100%),835246,"C,D"
2021,Suwannee Mill,1013316,17152 46th Trace,30.362514,-83.105987,Live Oak,SUWANNEE COUNTY,FL,32060,BINDERHOLZ LIVE OAK LLC (100%),17424,C
2021,Suwannee River Power Plant,1001490,4037 RIVER ROAD,30.3764,-83.1806,LIVE OAK,Suwannee,FL,32060,DUKE ENERGY CORP (100%),46443,C
2021,Sweatt Electric Generating Plant,1000697,5118 VALLEY ROAD,32.2925,-88.7461,MERIDIAN,Lauderdale,MS,39307,THE SOUTHERN CO (100%),2472,C
2021,Sweetwater Compressor Station,1012975,17601 State Highway 70,32.202639,-100.49718,Maryneal,NOLAN COUNTY,TX,79535,ENTERPRISE PRODUCTS PARTNERS LP (100%),57369,"C,W"
